"Cel", "Data zakończenia etapu"
"Przedstawienie koncepcji rządowi Polskiemu", "2018-09"
"Deklaracja w mediach i upublicznienie prac", "2018-12"
"Finalizacja szczegółowego programu i harmonogramu zajęć", "2019-01"
"Rozpoczęcie rekrutacji pracowników naukowych", "2021-01"
"Rozpoczęcie prac nad materiałami merytorycznymi", "2021-01"
"Ukończenie tworzenia wstępnych materiałów szkoleniowych", "2022-01"
"Rozpoczęcie selekcji astronautów", "2022-01"
"Wybór 10 kandydatów na astronautów", "2022-09"
"Wybór dwóch kandydatów na astronautów", "2023-01"
"Rozpoczęcie szkolenia podstawowego", "2023-01"
"Ukończenie dodatkowej infrastruktury szkoleniowej", "2023-01"
"Ukończenie pierwszego programu szkolenia polskich astronautów", "2025-01"
